m,kr1,kr2,A1,A2,z (um)
0.6,3317241,1990344.6,0.4,0.6,34.9
0.65,3245614,2109649.1,0.43,0.57,40.3
0.7,3143791,2200653.7,0.47,0.53,48.2
0.75,3111255,2333441.25,0.445,0.555,57.2
1,2713500,2713500,0.5,0.5,60
